chainId,address,symbol,name,decimals
101,FiV4TtDtnjaf8m8vw2a7uc9hRoFvvu9Ft7GzxiMujn3t,GBTC,Grayscale Bitcoin Trust,8
101,7FYk6a91TiFWigBvCf8KbuEMyyfpqET5QHFkRtiD2XxF,GDX,VanEck Vectors Gold Miners Etf,8
101,EGhhk4sHgY1SBYsgkfgyGNhAKBXqn6QyKNx7W13evx9D,GDXJ,VanEck Vectors Junior Gold Miners Etf,8
101,9HyU5EEyPvkxeuekNUwsHzmMCJoiw8FZBGWaNih2oux1,GLD,SPDR Gold Shares,8
101,EYLa7susWhzqDNKYe7qLhFHb3Y9kdNwThc6QSnc4TLWN,GLXY,Galaxy Digital Holdings,8
101,Ac2wmyujRxiGtb5msS7fKzGycaCF7K8NbVs5ortE6MFo,GME,GameStop,8
101,7uzWUPC6XsWkgFAuDjpZgPVH9p3WqeKTvTJqLM1RXX6w,GOOGL,Google,8
101,XJUMvw7KRLoLCYVD727jV9fjNUSDVcZaQUK6XpY6kGm,IF,Impossible Finance,9
101,CnLLrX9A8RhKpq8Z3CKko7sQMqN2AXj8AfFyxxoBBEFf,CH,COIN HUNTER,8
101,CB3obConLVWpo8RtTANzBSURmJnAVgy5xznvQfWXDfpR,PURITY,PURITY,9
101,GkDg1ZfoFkroLAwLqtJNXhxCDg8gmKxHAGxSUZagYFfE,SOL100,SOL100,9
101,5E2742iZRZgZF94bfz39NgV9wjppe24YrQJVu6niLPMA,GPA,GALAXY PANDA,8
101,4oyFkXQhvvDFa8cvShR4zwhYJ1RfhRzQjVAx1wemmjs6,GRU,GURU,9
101,8MpuLZGs52qdj4aGkgxrjjBbDQQd2dsKtbRpCpMb4g8o,TST,CHTST,9
101,4796pBun8ihiecy4unZuLWoSVRmK8sf7yQMbwkkvZDH3,BLOK,BLOCITIES,9
101,C4kmKzQ8o6NAP8pToERJF6C7V4PjCVE3o2oSrp24f5GP,CERCr,Elemento6,9
101,6CuCUCYovcLxwaKuxWm8uTquVKGWaAydcFEU3NrtvxGZ,INTC,Intel Corp,8
101,iVNcrNE9BRZBC9Aqf753iZiZfbszeAVUoikgT9yvr2a,IVN,Investin Protocol,6
101,BTk1SU7EM3sv7u8iaeUjJahm5oeXhEFeC3GJ3KqjTkGL,RDP,Road Protocol,9
101,7kWEmnn8sCDnB3gDyeNss8Jo8tgj7i3yHyKrYjbXV6Jd,WENA,WENATURE,9
101,6H26K637YNAjZycRosvBR3ENKFGMsbr4xmoV7ca83GWf,JUST,Just Group PLC,8
101,FFRtWiE8FT7HMf673r9cmpabHVQfa2QEf4rSRwNo4JM3,MRNA,Moderna,8
101,Hfbh3GU8AdYCw4stirFy2RPGtwQbbzToG2DgFozAymUb,NFLX,Netflix,8
101,56Zwe8Crm4pXvmByCxmGDjYrLPxkenTrckdRM7WG3zQv,NIO,Nio,8
101,HP9WMRDV3KdUfJ7CNn5Wf8JzLczwxdnQYTHDAa9yCSnq,NOK,Nokia,8
101,GpM58T33eTrGEdHmeFnSVksJjJT6JVdTvim59ipTgTNh,NVDA,NVIDIA,8
101,CRCop5kHBDLTYJyG7z3u6yiVQi4FQHbyHdtb18Qh2Ta9,PENN,Penn National Gaming,8
101,97v2oXMQ2MMAkgUnoQk3rNhrZCRThorYhvz1poAe9stk,PFE,Pfizer,8
101,AwutBmwmhehaMh18CxqFPPN311uCB1M2awp68A2bG41v,PYPL,PayPal,8
101,8Sa7BjogSJnkHyhtRTKNDDTDtASnWMcAsD4ySVNSFu27,SLV,iShares Silver Trust,8
