name,name2,account,mint_account,liquidity,price,apy_24h,apy_7d,apy_30d,volume_24h,volume_24h_quote,volume_7d,volume_7d_quote,volume_30d,volume_30d_quote
wstETH/USDC[aquafarm],wstETH/USDC,v51xWrRwmFVH6EKe8eZTjgK5E4uC2tzY5sVt5cHbrkG,5a6Y1ephcbKSoyLMQyD1JWbtqawCy8p2FtRL9v3zhaG5,674.913976082349,2958.7655993460608,0.02626041044484337,0.01842036172506494,0.027717721394735783,58.788865977121574,58.81939324221429,362.5667329127145,362.7550027591465,3280.787955521771,3282.4915686458985
AURY/USDC[aquafarm],AURY/USDC,6HSguUukDH9zqJBm6oAAmFkg1WK9dJ5iLgnppTCM6jHm,6mJqqT5TMgveDvxzBt3hrjGkPV5VAj7tacxFCT3GebXh,2189194.472376962,8.76454880082763,0.012603947822988208,0.017596318043324788,0.1228883547251057,33339.523424092375,33356.83562178008,360250.7919817182,360437.8592306589,1667007.047441473,1667872.6733589463
AVAX/USDC[aquafarm],AVAX/USDC,7c2CLgatf2TU36PgpS65WLmvWk94rmaHVf1Z1peZ7mcA,Hmfrtmo93DpSDmVNLQKcBS5D1ia5JatiRSok9ososubz,210756.5682093583,74.0784467138445,0.07934240638529146,0.06432819192623268,0.11264395042458876,20037.090004996277,20047.49465472208,119194.17923439812,119256.0731363559,954197.4484601826,954692.934092977
FTT/USDC[aquafarm],FTT/USDC,8npdwWX2BR39kcFLtTJABbcjNq7NWQvipfqxgsfk9mTX,FwCombynV2fTVizxPCNA2oZKoWXLZgdJThjE4Xv9sjxc,168912.5455070818,41.25140948152091,0.046971945287484614,0.10766485651407176,0.09517208163036817,9553.94910671423,9558.910181098221,153729.3028441383,153809.1297824954,736081.8119453734,736464.0367804625
RAY/USDC[aquafarm],RAY/USDC,2R2VhohRc5WoNHtRdwnjovAQaZRAmr1DE3QFW5jfgb6v,4cXw2MYj94TFBXLL73fEpMCr8DPrW68JvrV8mzWgktbD,7075.962726134683,2.571334522617238,0.040681740299822286,0.10309973278882581,0.17107941879902241,374.84214110033327,375.03678519184786,8091.710096611543,8095.911874874603,59399.31598215651,59430.160235318646
SLND/USDC[aquafarm],SLND/USDC,GhosXH9yZPxqSyTHqJtXQt6w65YfiGjKXcEXciX1P3z8,F59gkD7NnsdJbFKrRZsiBC8PAooN4c56T8QmahfW1iXN,1070524.3789470415,1.8509606485766115,0.0028372822252244532,0.007706027890289366,0.01730221364688494,8110.156288335895,8114.367645143725,228222.7396271476,228341.24873524118,2348874.4841244277,2350094.1830054075
GOFX/USDC[aquafarm],GOFX/USDC,C3b5AWQJiyar5g8EWu75zgDE26F55ZJWpqtFVCCVDQQQ,7vnps4VE5RTGAr5fmPZu7fSrk2VnM4Up838grZfqmxqE,473378.7866590789,0.10956486416450137,0.019912759545664432,0.02184802268227318,0.01808000627120252,13795.613070173613,13802.776711286771,82743.77611715136,82786.74243647589,410982.050467119,411195.46091133205
WOOF/USDC[aquafarm],WOOF/USDC,HY6iq1dp7pHwstfmLFu8m2iEvRQtjX3N751jcN6KrQXU,9EjcYfHcG8f1mccpHyaAwpoxaUPiheC6KgLQjyD9aTb6,104497.13361169836,0.0002735919942450132,0.2845507962914068,0.2694028300746617,0.47725977623170496,41318.59174201393,41340.0472265245,258494.13903464697,258628.36715720157,1940830.986357383,1941838.8006949436
SDOGE/USDC[aquafarm],SDOGE/USDC,8GoFKVkoxPyQKWXhoXs3ycGmp9rXYM8hz7eq1EUM1MJe,CHTKUJGYRtBDqnxCFjxe5KEkZgxV98udbhuYYyzGxup5,37261.450056181005,6.499373174677658e-05,0.03981952475915266,0.10691747693722006,0.14050583554774107,1382.981410386223,1383.6995504529082,17815.63492416003,17824.886040014797,134317.17872662767,134386.92554098344
CATO/USDC[aquafarm],CATO/USDC,GumfURfQvPaJ2E5ueCEKYJmymNQbV34gU9TmiKZYRkiv,55r9txzQtmjTykmTXmBYZCVMg5z9squB8b5cSw2AhxA4,29699.877869176613,0.002149859003165656,0.004101329041549672,0.026537924426270152,0.08569586672057333,231.6717814989623,231.79208158930717,6575.651211265276,6579.065746387651,100311.47737867298,100363.56606946304
